GEO_ID,LINK,MAINT_STAG,ADDRESS,LFNAME,LONUM,LONUMSUF,HINUM,HINUMSUF,ARC_SIDE,DISTANCE,FCODE,FCODE_DES,CLASS,NAME,X,Y,LONGITUDE,LATITUDE,OBJECTID,MUN_NAME,NeighboodhoodID,WARD_NAME
7569438,7569522,REGULAR,876,Adelaide St W,876,,0,,R,38.540,112001,Commercial Location,Structure Entrance,,311806.3800,4833495.9560,-79.41296295790,43.64338054290,1745138,former Toronto,82,Trinity-Spadina (19)
30068678,14673880,REGULAR,80,Atlantic Ave,80,,0,,L,57.950,112001,Commercial Location,Structure,,311155.6250,4832982.8380,-79.42103163100,43.63875859100,3832929,former Toronto,85,Parkdale-High Park (14)
20233015,7929254,REGULAR,29,Bay St,29,,0,,R,41.730,112001,Commercial Location,Structure Entrance,,314681.4260,4833402.1720,-79.37732813480,43.64250289270,2092958,former Toronto,77,Toronto Centre-Rosedale (28)
20233014,7929254,REGULAR,31,Bay St,31,,0,,R,51.100,112001,Commercial Location,Structure Entrance,,314679.1060,4833411.2560,-79.37735671880,43.64258469230,2862963,former Toronto,77,Toronto Centre-Rosedale (28)
20233008,7929254,REGULAR,39,Bay St,39,,0,,R,92.720,112001,Commercial Location,Structure Entrance,,314669.0560,4833451.6520,-79.37748052310,43.64294844650,3003337,former Toronto,77,Toronto Centre-Rosedale (28)
20259075,7762728,REGULAR,820,Bay St,820,,0,,L,32.280,112001,Commercial Location,Structure Entrance,,313943.9460,4835545.3610,-79.38643254740,43.66180346260,2647684,former Toronto,76,Toronto Centre-Rosedale (27)
768411,1143400,REGULAR,875,Bay St,875,,0,,R,20.840,112001,Commercial Location,Structure Entrance,,313962.2020,4835646.9730,-79.38620447310,43.66271789590,1763560,former Toronto,76,Toronto Centre-Rosedale (27)
14050663,1143400,REGULAR,895,Bay St,895,,0,,R,74.300,112001,Commercial Location,Structure Entrance,,313946.5100,4835698.0830,-79.38639817350,43.66317816890,2549360,former Toronto,76,Toronto Centre-Rosedale (27)
14191071,30014022,REGULAR,917,Bay St,917,,0,,R,36.350,112001,Commercial Location,Structure Entrance,,313937.5960,4835763.3970,-79.38650760390,43.66376621310,2096787,former Toronto,76,Toronto Centre-Rosedale (27)
14639618,10664090,REGULAR,1278,Bay St,1278,,0,,L,29.860,112001,Commercial Location,Structure Entrance,,313610.8470,4836629.9620,-79.39054505540,43.67157053080,1612898,former Toronto,95,Toronto Centre-Rosedale (27)
14075161,1144870,REGULAR,95,Berkeley St,95,,0,,R,62.190,112001,Commercial Location,Structure Entrance,,315702.3100,4834637.9520,-79.36464607000,43.65360357500,4141861,former Toronto,73,Toronto Centre-Rosedale (28)
30039253,8536355,REGULAR,407,Bloor St E,407,,0,,R,159.930,112001,Commercial Location,Structure,,314697.0420,4836688.2600,-79.37707097400,43.67207309100,3816834,former Toronto,74,Toronto Centre-Rosedale (27)
14211065,8408552,REGULAR,196,Bloor St W,196,,0,,R,101.030,112001,Commercial Location,Structure Entrance,,313216.9970,4836307.9920,-79.39543020900,43.66866867400,3223398,former Toronto,95,Trinity-Spadina (20)
14075181,8408589,REGULAR,337,Bloor St W,337,,0,,L,68.650,112001,Commercial Location,Structure Entrance,,312802.2240,4836138.4630,-79.40057909720,43.66715587750,2648003,former Toronto,79,Trinity-Spadina (20)
14122299,14039980,REGULAR,570,Bloor St W,570,,0,,R,1.370,112001,Commercial Location,Structure Entrance,,311891.1210,4835921.6220,-79.41187970470,43.66521318990,3012609,former Toronto,95,Trinity-Spadina (20)
20033389,7577053,REGULAR,496,College St,496,,0,,R,70.040,112001,Commercial Location,Structure Entrance,,312053.8230,4834926.8400,-79.40987667620,43.65625712860,2304023,former Toronto,80,Trinity-Spadina (19)
13502692,438663,REGULAR,243,Consumers Rd,243,,0,,R,-72.490,112001,Commercial Location,Structure,,318314.0990,4847546.0980,-79.33194401700,43.76975029900,3315919,North York,53,Don Valley East (33)
30021034,4709500,REGULAR,898,Don Mills Rd,898,,0,,L,162.530,112001,Commercial Location,Structure,,317595.2960,4842745.2980,-79.34098913890,43.72655840010,3020883,North York,42,Don Valley West (25)
9234170,9234036,REGULAR,249,Dufferin St,249,,0,,R,102.850,112001,Commercial Location,Structure Entrance,,310696.8180,4832900.6240,-79.42672208790,43.63803064150,2694074,former Toronto,85,Parkdale-High Park (14)
30062492,10759621,REGULAR,4955,Dundas St W,4955,,0,,L,135.210,112001,Commercial Location,Structure,,302403.6610,4833971.2260,-79.52950646700,43.64767645400,3811839,Etobicoke,14,Etobicoke-Lakeshore (5)
14230205,30012735,REGULAR,37,Eglinton Ave E,37,,0,,R,32.750,112001,Commercial Location,Structure Entrance,,313086.6820,4840538.8800,-79.39698550980,43.70676079020,2840983,former Toronto,104,St. Paul's (22)
13972294,8038657,REGULAR,10,Four Seasons Pl,10,,0,,L,163.940,112001,Commercial Location,Structure,,299797.4350,4833918.1270,-79.56181791740,43.64719563250,2909217,Etobicoke,14,Etobicoke Centre (3)
14121597,7930505,REGULAR,132,John St,132,,0,,L,19.280,112001,Commercial Location,Structure,,313588.4580,4834078.7940,-79.39086094500,43.64859874000,4146389,former Toronto,77,Trinity-Spadina (20)
828065,1145316,REGULAR,156,King St E,156,,0,,L,37.860,112001,Commercial Location,Structure Entrance,,315146.3440,4834320.5150,-79.37154778190,43.65076283650,2096811,former Toronto,73,Toronto Centre-Rosedale (28)
14235129,1145214,REGULAR,218,King St E,218,,0,,L,76.330,112001,Commercial Location,Structure,,315379.0200,4834393.7150,-79.36866198790,43.65141840810,1651073,former Toronto,73,Toronto Centre-Rosedale (28)
30031902,8353870,REGULAR,335,King St E,335,,0,,R,22.990,112001,Commercial Location,Structure Entrance,,315616.3080,4834413.5200,-79.36571679000,43.65158464100,3281099,former Toronto,73,Toronto Centre-Rosedale (28)
13515942,7929673,REGULAR,163,King St W,163,,0,,L,22.360,112001,Commercial Location,Structure Entrance,,314059.5850,4833955.5210,-79.38502617230,43.64749185660,2863064,former Toronto,76,Trinity-Spadina (20)
14208524,7929656,REGULAR,268,King St W,268,,0,,R,147.580,112001,Commercial Location,Structure Entrance,,313823.4660,4833927.3090,-79.38795352760,43.64724091240,2225547,former Toronto,77,Trinity-Spadina (20)
20168088,10458506,REGULAR,360,King St W,360,,0,,R,84.480,112001,Commercial Location,Structure Entrance,,313589.8310,4833851.9800,-79.39085086630,43.64656574910,2582786,former Toronto,77,Trinity-Spadina (20)
14114138,11631428,REGULAR,694,King St W,694,,0,,R,22.240,112001,Commercial Location,Structure Entrance,,312606.1650,4833573.8100,-79.40304837030,43.64407358920,1720219,former Toronto,82,Trinity-Spadina (19)
30010505,20031730,REGULAR,2073,Lake Shore Blvd W,2073,,0,,L,108.070,112001,Commercial Location,Structure Entrance,,306698.8870,4832054.7340,-79.47627139600,43.63042776100,3326035,Etobicoke,17,Etobicoke-Lakeshore (6)
30029181,9109627,REGULAR,1067,Midland Ave,1067,,0,,R,51.820,112001,Commercial Location,Structure Entrance,,324043.6760,4844487.6690,-79.26088491400,43.74209487100,3219841,Scarborough,138,Scarborough Centre (37)
14614873,14659267,REGULAR,787,Milner Ave,787,,0,,R,138.200,112001,Commercial Location,Structure Entrance,,328666.3510,4850713.1670,-79.20322016550,43.79800600050,1529984,Scarborough,132,Scarborough-Rouge River (42)
20232443,1143325,REGULAR,1131,Queen St E,1131,,0,,R,9.310,112001,Commercial Location,Structure Entrance,,318113.7530,4835586.5100,-79.33473073700,43.66211132210,2543792,former Toronto,70,Toronto-Danforth (30)
14185391,1142319,REGULAR,1775,Queen St E,1775,,0,,R,76.280,112001,Commercial Location,Structure Entrance,,320156.3190,4836226.2530,-79.30938664210,43.66783082590,2404805,former Toronto,63,Beaches-East York (32)
20105523,10486026,REGULAR,471,Queen St W,471,,0,,L,16.500,112001,Commercial Location,Structure Entrance,,313049.3570,4834048.4670,-79.39754750330,43.64834084990,2862914,former Toronto,77,Trinity-Spadina (20)
20359249,10476607,REGULAR,591,Queen St W,591,,0,,L,38.700,112001,Commercial Location,Structure Entrance,,312702.7220,4833956.3060,-79.40184573930,43.64751516700,1884270,former Toronto,77,Trinity-Spadina (20)
30056079,14134888,REGULAR,246,Queens Quay W,246,,0,,R,179.110,112001,Commercial Location,Structure Entrance,,314066.0670,4833055.2900,-79.38495811400,43.63938039800,3359399,former Toronto,77,Trinity-Spadina (20)
14230449,20054128,REGULAR,540,Queens Quay W,540,,0,,R,113.280,112001,Commercial Location,Structure Entrance,,313187.5960,4832819.3270,-79.39585308170,43.63727577220,1791785,former Toronto,77,Trinity-Spadina (20)
20046091,1144943,REGULAR,157,Richmond St E,157,,0,,R,32.740,112001,Commercial Location,Structure Entrance,,315074.8800,4834515.8160,-79.37242994490,43.65252179530,2841652,former Toronto,73,Toronto Centre-Rosedale (28)
11835328,11835329,REGULAR,50,Sheppard Ave E,50,,0,,L,155.280,112001,Commercial Location,Structure,,312095.6660,4846693.2600,-79.40919609200,43.76216106900,3824749,North York,51,Willowdale (23)
20364270,439040,REGULAR,652,Sheppard Ave E,652,,0,,L,193.060,112001,Commercial Location,Structure Entrance,,314367.2370,4847413.7610,-79.38097386500,43.76862903430,1580535,North York,52,Willowdale (24)
562227,20041306,REGULAR,910,Sheppard Ave W,910,,0,,R,86.330,112001,Commercial Location,Structure,,308172.2550,4845541.6640,-79.45793419890,43.75183160140,3006714,North York,34,York Centre (10)
871416,1139432,REGULAR,74,St Clair Ave W,74,,0,,R,294.190,112001,Commercial Location,Structure Entrance,,313028.5770,4838408.5470,-79.39773908680,43.68758669740,2912402,former Toronto,97,St. Paul's (22)
30014615,9309,REGULAR,2567,St Clair Ave W,2567,,0,,L,71.020,112001,Commercial Location,Structure Entrance,,305770.6240,4836200.8970,-79.48777005760,43.66775925430,3021683,York,111,York South-Weston (11)
9879969,9879968,REGULAR,561,Yonge St,561,,0,,R,25.670,112001,Commercial Location,Structure,,314098.3310,4835923.4050,-79.38450868600,43.66519595000,3794719,former Toronto,75,Toronto Centre-Rosedale (27)
9941840,9941835,REGULAR,661,Yonge St,661,,0,,R,25.880,112001,Commercial Location,Structure,,314002.2470,4836265.1230,-79.38569424200,43.66827313400,3358129,former Toronto,75,Toronto Centre-Rosedale (27)
30032262,8680552,REGULAR,1084,Yonge St,1084,,0,,L,10.450,112001,Commercial Location,Structure,,313638.6320,4837333.2610,-79.39018627900,43.67789214600,3796464,former Toronto,95,Toronto Centre-Rosedale (27)
14206682,8741261,REGULAR,1424,Yonge St,1424,,0,,L,89.480,112001,Commercial Location,Structure Entrance,,313336.5750,4838338.7130,-79.39391950690,43.68695468170,2164150,former Toronto,97,St. Paul's (22)
30072812,8540537,REGULAR,2391,Yonge St,2391,,0,,R,34.520,112001,Commercial Location,Structure,,312940.7110,4840890.8650,-79.39878814600,43.70992207000,4071633,former Toronto,104,Don Valley West (25)
20059342,10257835,REGULAR,2713,Yonge St,2713,,0,,R,68.250,112001,Commercial Location,Structure Entrance,,312814.8400,4841704.2750,-79.40034126700,43.71725383970,2736094,former Toronto,103,Don Valley West (25)
10947971,10947970,REGULAR,3164,Yonge St,3164,,0,,L,115.950,112001,Commercial Location,Structure Entrance,,312592.5510,4842817.7790,-79.40308398070,43.72727945670,2256494,former Toronto,105,Eglinton-Lawrence (16)
20101361,440307,REGULAR,4665,Yonge St,4665,,0,,R,77.630,112001,Commercial Location,Structure Entrance,,312054.0900,4846239.3920,-79.40972162850,43.75808475400,2047464,North York,51,Willowdale (23)
14627064,438723,REGULAR,5225,Yonge St,5225,,0,,R,47.020,112001,Commercial Location,Structure Entrance,,311778.4530,4847724.9040,-79.41312575940,43.77145859910,2676128,North York,51,Willowdale (23)
14676586,438022,REGULAR,5520,Yonge St,5520,,0,,L,82.070,112001,Commercial Location,Structure Entrance,,311568.5060,4848514.3610,-79.41572368320,43.77856633880,2827006,North York,37,Willowdale (23)
30043489,7195601,REGULAR,5927,Yonge St,5927,,0,,R,18.820,112001,Commercial Location,Structure Entrance,,311455.1650,4849482.3260,-79.41711630800,43.78727131100,3319627,North York,50,Willowdale (24)
7195913,7195911,REGULAR,6307,Yonge St,6307,,0,,R,23.140,112001,Commercial Location,Structure Entrance,,311290.4690,4850421.2130,-79.41915440260,43.79573224810,3037758,North York,50,Willowdale (24)
20060608,436600,REGULAR,6983,Yonge St,6983,,0,,R,46.090,112001,Commercial Location,Structure Entrance,,311260.4250,4850633.4670,-79.41952512650,43.79764302870,1519807,North York,50,Willowdale (24)
